MeanLength,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00
36,541618.00,424432.00,750288.00,570535.00,406903.00,492489.00,566586.00,154567.00,283925.00,482817.00,477881.00,275684.00,329876.00,234215.00,212484.00,283074.00,61076.00,141481.00,102716.00,181200.00,181805.00,39397.00,40533.00,53516.00,48818.00,44605.00,14885.00,3314.00,13952.00,9942.00,2702.00,4090.00,9673.00,11647.00,14665.00,210.00,868.47,1673.70
37,424861.00,376574.00,555194.00,464477.00,379529.00,537708.00,840722.00,312953.00,253238.00,448148.00,568882.00,310593.00,265263.00,260985.00,206651.00,185772.00,93419.00,111731.00,94402.00,210493.00,170692.00,63118.00,47679.00,44478.00,52465.00,51696.00,15160.00,3663.00,20488.00,16408.00,4113.00,5200.00,7312.00,8928.00,13834.00,211.00,1549.50,2330.08
38,335161.00,421084.00,343300.00,299382.00,406232.00,246467.00,572821.00,330827.00,240629.00,443090.00,467825.00,320911.00,295835.00,300625.00,226058.00,219597.00,85741.00,102622.00,70576.00,190939.00,113925.00,67877.00,48242.00,49249.00,49886.00,44087.00,18641.00,4575.00,18282.00,31600.00,2604.00,4245.00,7408.00,11862.00,18446.00,191.00,1600.69,2582.05
39,336173.00,346156.00,318509.00,380187.00,253742.00,253368.00,346605.00,194353.00,143662.00,254072.00,329888.00,194120.00,209661.00,174339.00,172512.00,163166.00,56339.00,73334.00,50903.00,144645.00,82618.00,51415.00,38240.00,39331.00,42048.00,41057.00,17008.00,4830.00,14674.00,23421.00,4177.00,11728.00,7463.00,7506.00,12110.00,161.00,1446.26,2754.82
40,315313.00,310935.00,321352.00,379970.00,298127.00,356195.00,474240.00,277091.00,164713.00,295062.00,410174.00,255305.00,187071.00,294616.00,152108.00,220684.00,113649.00,96582.00,80517.00,145985.00,121504.00,65680.00,49166.00,44840.00,41220.00,40578.00,22277.00,5748.00,11353.00,54709.00,5910.00,5230.00,7564.00,9176.00,15759.00,223.00,1211.29,2826.83
41,232413.00,291274.00,188425.00,233784.00,193384.00,123093.00,406784.00,300401.00,136108.00,228975.00,297791.00,164452.00,113984.00,144753.00,121338.00,98040.00,58998.00,59598.00,44845.00,86060.00,72737.00,44955.00,43478.00,33720.00,37720.00,35542.00,23776.00,4468.00,14157.00,45761.00,7857.00,3189.00,6295.00,6216.00,9479.00,190.00,1285.06,2363.94
42,243470.00,239555.00,312832.00,158695.00,185231.00,157328.00,517870.00,218777.00,107610.00,183767.00,282762.00,191349.00,160224.00,183706.00,99126.00,117274.00,62242.00,65911.00,44306.00,115848.00,82281.00,50925.00,40147.00,27415.00,33669.00,31654.00,22690.00,4450.00,11170.00,32558.00,8793.00,4014.00,5981.00,6593.00,7678.00,217.00,1942.49,2122.04
43,151782.00,149277.00,162922.00,256615.00,202912.00,195606.00,244910.00,246013.00,116619.00,166597.00,236094.00,141213.00,85455.00,136049.00,82838.00,62280.00,51064.00,35362.00,18157.00,83258.00,48946.00,42432.00,35062.00,26407.00,29182.00,35282.00,21186.00,5906.00,13265.00,42263.00,8702.00,6171.00,5401.00,8732.00,7546.00,185.00,1488.43,1413.14
44,128236.00,101578.00,150870.00,191011.00,79108.00,190711.00,210763.00,180755.00,73446.00,102772.00,165500.00,153064.00,76862.00,86908.00,61082.00,50968.00,46895.00,37864.00,32378.00,74978.00,87712.00,36928.00,25922.00,19317.00,20687.00,26535.00,16976.00,7844.00,12552.00,30887.00,3775.00,5160.00,5136.00,6777.00,5513.00,179.00,878.68,1376.89
45,166219.00,95052.00,162046.00,79120.00,88921.00,69528.00,192186.00,177891.00,66452.00,113787.00,122652.00,126641.00,81344.00,109857.00,54288.00,55083.00,56421.00,48326.00,28465.00,57578.00,59624.00,34020.00,29604.00,17785.00,22707.00,28807.00,14730.00,6634.00,13617.00,20741.00,3756.00,3706.00,3182.00,8129.00,4182.00,155.00,640.18,1016.51
46,82012.00,70810.00,96857.00,166168.00,57839.00,154061.00,65816.00,144286.00,43189.00,69868.00,128673.00,116911.00,44381.00,57303.00,41505.00,19031.00,22865.00,24600.00,15416.00,28600.00,55978.00,44317.00,21084.00,15227.00,17478.00,23436.00,12065.00,4472.00,14108.00,15879.00,4832.00,4780.00,4077.00,4407.00,2785.00,127.00,853.45,836.25
47,74707.00,41479.00,55276.00,62460.00,67216.00,103010.00,58027.00,120036.00,44340.00,60275.00,88370.00,26862.00,35808.00,43829.00,37456.00,25582.00,25038.00,17367.00,7511.00,15294.00,29513.00,36436.00,17462.00,10807.00,11648.00,19844.00,13254.00,6351.00,14461.00,11816.00,4864.00,1469.00,2568.00,4279.00,2503.00,103.00,804.48,623.32
48,58964.00,39484.00,157533.00,74550.00,16164.00,59389.00,64459.00,139489.00,37222.00,39379.00,34326.00,66519.00,21632.00,25071.00,24323.00,16251.00,22054.00,14092.00,13847.00,21278.00,29854.00,29744.00,15698.00,9923.00,10647.00,14928.00,10572.00,4197.00,12587.00,11929.00,6841.00,2245.00,970.00,2773.00,1890.00,97.00,719.38,524.41
49,28046.00,15669.00,83825.00,34460.00,16601.00,69485.00,32193.00,67658.00,21756.00,29864.00,43027.00,20451.00,24499.00,9500.00,17754.00,8876.00,9580.00,12769.00,8825.00,16613.00,18727.00,21620.00,12403.00,8116.00,7087.00,12585.00,9879.00,4718.00,10408.00,13546.00,7378.00,2029.00,748.00,2089.00,1653.00,102.00,421.70,262.03
50,29109.00,15054.00,56107.00,30521.00,24747.00,33069.00,21534.00,55218.00,14234.00,21391.00,25628.00,22823.00,16242.00,12497.00,17453.00,18540.00,22108.00,25026.00,9376.00,13239.00,21308.00,19833.00,14718.00,7728.00,8886.00,12097.00,6945.00,4517.00,8140.00,10114.00,7496.00,1257.00,1104.00,1789.00,2376.00,62.00,287.60,241.29
51,25879.00,14409.00,63991.00,36635.00,15235.00,7602.00,21306.00,29534.00,10854.00,5479.00,15621.00,15486.00,8317.00,6238.00,10813.00,1918.00,4667.00,4397.00,6060.00,15281.00,30699.00,16287.00,9827.00,5021.00,7426.00,7888.00,8627.00,3396.00,8349.00,2988.00,2580.00,1847.00,517.00,1541.00,1179.00,51.00,243.01,171.96
52,8143.00,5381.00,2790.00,2350.00,6901.00,11397.00,8850.00,33184.00,14096.00,3852.00,32748.00,26141.00,10815.00,4948.00,4520.00,4235.00,7576.00,8303.00,6795.00,8752.00,16112.00,11873.00,10235.00,5994.00,6177.00,5533.00,5501.00,3567.00,5300.00,5903.00,4998.00,1785.00,758.00,1580.00,776.00,34.00,441.45,124.00
53,9037.00,8537.00,6363.00,31986.00,2316.00,1313.00,4903.00,38433.00,14993.00,6872.00,10953.00,19895.00,7895.00,5953.00,9646.00,583.00,3220.00,3921.00,2187.00,14992.00,12374.00,10059.00,6963.00,5508.00,4973.00,4943.00,6070.00,4482.00,5413.00,2899.00,1897.00,2042.00,961.00,1247.00,753.00,23.00,334.00,63.61
54,3786.00,6084.00,25189.00,32992.00,889.00,705.00,5384.00,21572.00,6738.00,1341.00,5083.00,2150.00,6795.00,3648.00,6027.00,542.00,2444.00,4757.00,4746.00,1995.00,3605.00,6851.00,5669.00,4232.00,3402.00,3164.00,4346.00,2544.00,5365.00,4302.00,689.00,1667.00,314.00,809.00,612.00,8.00,197.27,24.89
