MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
66,,,659,,81,,0,,73,0,0,,37,0,,150,669,121,373,70,7,0,,,,0,0,3,,0
67,,,260,,37,,0,,,0,0,,0,0,,51,396,0,244,12,88,0,,,,0,31,7,,0
68,,,542,,88,,447,,,0,0,,0,0,,61,246,177,90,110,105,163,,,,0,8,3,,0
69,,,283,,88,,,,,0,0,,0,0,,0,190,194,92,22,5,,,,,0,0,8,,0
70,,,659,,37,,,,,0,0,,28,0,,110,153,204,95,28,32,,,,,679,103,,,0
71,,,283,,88,,,,,13,0,,0,39,,51,35,0,0,0,27,,,,,0,,,,0
72,,,0,,143,,,,,,0,,0,,,22,182,0,0,28,0,,,,,348,,,,0
73,,,659,,0,,,,,,0,,0,,,62,88,95,0,,24,,,,,348,,,,0
74,,,0,,0,,,,,,0,,0,,,22,227,,0,,0,,,,,0,,,,0
75,,,659,,88,,,,,,52,,11,,,21,103,,25,,15,,,,,348,,,,0
76,,,0,,0,,,,,,,,0,,,84,71,,,,24,,,,,0,,,,0
77,,,0,,88,,,,,,,,0,,,11,59,,,,7,,,,,0,,,,0
78,,,283,,88,,,,,,,,0,,,0,0,,,,,,,,,0,,,,0
79,,,283,,,,,,,,,,0,,,41,19,,,,,,,,,165,,,,0
80,,,,,,,,,,,,,0,,,41,0,,,,,,,,,,,,,0
81,,,,,,,,,,,,,0,,,11,140,,,,,,,,,,,,,0
82,,,,,,,,,,,,,0,,,81,167,,,,,,,,,,,,,0
83,,,,,,,,,,,,,0,,,73,138,,,,,,,,,,,,,0
84,,,,,,,,,,,,,0,,,91,71,,,,,,,,,,,,,0
85,,,,,,,,,,,,,11,,,81,29,,,,,,,,,,,,,0
86,,,,,,,,,,,,,,,,21,155,,,,,,,,,,,,,0
87,,,,,,,,,,,,,,,,30,19,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,0,19,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,0,123,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,30,52,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,19,111,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,21,0,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,0,71,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
