talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
47.5,83628,98482,33903,59688,232028,75103,63172,64367,32334,69907,63277,42139,23358,24990,32589,18880,20371,17214,11091,24477,12942,5160,3900,3679,2563,190,449,208,2441,856,396,985
48.5,60679,76234,18325,41293,200413,53461,56035,45377,42261,75635,93331,49263,17082,11980,15213,11118,13698,14486,7465,12495,14024,4037,4443,3273,1984,526,563,100,402,706,169,2029
49.5,61201,70980,24849,33255,145893,56739,54130,35634,14912,31611,60599,32681,16560,10993,13217,13050,10279,9924,8745,12347,8309,4875,5215,3297,2641,356,1258,358,1356,219,69,1756
50.5,63799,105651,15057,35006,68320,55883,50222,18477,21673,56282,69436,32306,10369,9730,11661,12307,9464,11241,9398,9341,8488,8314,5003,7764,2338,174,2279,255,2039,837,890,1924
51.5,13319,43294,10837,7615,72128,26092,46514,8827,15095,22756,43655,15276,14552,3730,5668,13699,3375,11685,3980,5460,8482,5955,3550,2984,1500,40,144,108,1108,687,137,630
52.5,19799,59771,9159,27858,73841,20029,52847,15089,12829,33790,30596,19690,12521,4357,6063,8506,10231,8227,4806,6635,9323,5787,3801,3652,2619,70,177,161,461,70,159,824
53.5,19579,26098,12543,22428,36788,16481,28559,4957,12278,23279,22598,17387,4504,3851,6325,10208,5274,6291,4501,6390,4676,6212,4223,2551,1949,53,144,267,872,550,253,1526
54.5,14220,10395,7592,19107,23750,15849,12906,2685,11058,30290,12579,13027,7554,3171,5345,7422,4532,7786,8038,4958,7767,3957,4162,2101,1041,47,719,161,1908,497,469,509
55.5,3462,17710,1580,3756,13053,17692,11675,829,6914,17005,13656,8307,5182,4944,4226,3890,2525,6422,2850,5164,6577,5212,7693,3982,558,358,1092,339,1604,694,438,1310
56.5,2394,9084,1713,3988,4931,10899,5890,460,7962,7604,9266,8002,5736,2525,3155,5591,2774,2995,2204,2417,6175,6985,3539,3300,548,61,180,192,0,116,172,692
57.5,5956,4544,1402,877,6247,5749,9947,0,3945,6612,4133,4870,4497,3184,3170,2214,2316,2577,1805,3677,5420,4871,3027,1879,216,364,171,258,240,811,124,437
58.5,5222,5029,1085,3183,6406,5592,15048,0,2224,6118,10017,4329,3860,3710,3940,2277,2421,4315,3315,3707,5548,5904,4261,1350,326,70,281,219,436,201,300,876
59.5,6798,0,1232,490,6450,1750,8004,0,231,985,861,2763,2622,2978,2196,1223,3664,2503,1260,2468,2306,3058,1380,1835,617,776,749,108,505,422,440,543
60.5,2008,0,1995,320,3466,2124,2211,0,0,998,572,2629,2329,2352,3200,1952,4099,3799,2074,1522,3950,4397,3330,2223,756,427,1341,175,1411,519,194,1383
61.5,3738,0,1139,201,2891,2385,13122,0,231,161,1596,0,2946,1588,2551,1823,1311,2482,1265,1648,954,1790,2458,1338,1028,350,93,58,855,314,571,335
62.5,1926,0,1009,543,894,422,7308,0,462,478,0,0,1460,5362,2981,2090,2861,3901,1447,1116,3715,2907,716,1663,609,367,19,78,214,72,380,603
63.5,1312,0,1299,434,2917,422,4756,0,0,639,308,0,2943,2808,2326,1839,1064,2313,700,1205,1840,1437,1890,1411,317,342,435,136,821,88,183,558
