MeanLength,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48,22177,4967,23643,10790,15129,49473,42814,23530,33684,40185,325,2651,3698,5113,13664,9982,9101,12000,2974,2557,4815,6941,7084,4548,6826,7414,5016,5106,4661,3100,192,1851,1459,1303,357,25,258,270
49,20475,7680,5608,17980,25785,23732,12400,22800,14544,2678,1951,2250,4227,2436,3811,7230,6108,3403,2292,994,4200,5234,3147,4414,3909,3123,4129,3758,3949,3316,740,1010,942,1384,277,18,101,154
50,19012,2018,0,17701,578,8449,8460,16102,11529,12348,5051,2647,1917,3699,4333,9284,6061,16579,3602,4875,2921,7238,3834,3125,5449,6220,2708,3141,5252,2067,169,507,662,835,373,15,128,149
51,6399,1820,0,4701,1415,1313,1531,19844,10998,4828,0,1553,42,1614,1116,1471,712,1461,1538,678,3105,3819,3573,2328,2055,3637,2801,2763,2209,3868,604,293,961,743,183,7,76,75
52,7739,297,645,1765,12796,8169,10960,8073,9585,4995,0,464,484,637,1625,1149,1720,773,1115,776,2065,3704,1532,1818,2098,2353,3993,2891,2942,1441,156,90,378,841,272,10,67,148
53,3114,128,0,1885,5759,20241,368,2654,2706,6684,3458,464,1969,457,1568,3184,712,383,341,138,598,989,1973,926,1718,1839,2137,2753,3458,1585,504,46,861,800,268,9,76,97
54,5373,341,0,607,7547,0,1489,4431,1716,2272,0,0,564,752,1531,2066,141,753,0,2015,56,2356,1117,1054,635,825,1222,2481,1576,2704,85,29,321,274,191,7,38,0
55,986,1264,0,3424,3884,0,2285,1430,2202,121,140,0,260,1007,577,2436,1699,392,177,0,401,771,1031,712,669,1141,1207,2573,2105,943,484,100,388,685,316,4,27,28
56,2255,616,0,607,52,8538,1489,2070,1107,354,0,726,63,162,362,0,0,0,315,0,342,970,1113,433,618,500,633,1212,1046,2231,91,73,605,384,135,5,11,0
57,1508,0,0,3545,0,1011,0,56,1989,1897,0,0,239,543,405,0,263,66,0,0,84,1653,540,1013,845,152,379,1180,1228,1260,114,11,160,286,100,3,20,10
58,32,0,0,244,0,0,0,2219,0,608,0,0,690,268,1131,53,0,290,0,0,73,292,469,388,262,381,399,844,1001,858,100,0,36,108,75,3,13,0
59,503,1874,0,364,0,0,368,393,291,1081,0,0,153,0,2955,0,351,0,0,0,180,410,368,174,0,175,478,842,280,0,52,0,82,64,57,3,5,13
60,227,0,0,520,0,2144,0,0,0,0,0,0,42,0,723,1101,0,0,0,0,27,0,208,257,91,62,0,661,323,2014,0,0,41,0,52,1,12,0
61,0,0,0,520,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,68,271,182,133,0,120,210,207,675,602,0,41,0,29,2,0,0
62,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,200,0,40,118,0,325,348,4025,100,0,263,88,10,0,11,0
63,0,0,0,276,0,0,0,0,0,0,0,0,0,0,151,1101,0,0,0,0,243,0,109,44,93,34,26,285,258,675,52,0,20,0,35,0,4,0
64,644,0,0,1797,52,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,75,220,32,0,0,0,21,0,10,0,7,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,0,0,0,0,0,0,0,25,41,27,0,0,175,332,676,55,0,40,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,43,23,0,0,0,0,44,10,0,0,0
67,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,88,401,0,0,20,0,0,1,0,22
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,27,0,0,0,46,0,0,0,0,0,0,0,3,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,1,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,89,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
