MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
50.5,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51,100.51
51.5,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
52.5,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77,113.77
53.5,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83
54.5,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18,128.18
55.5,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84,135.84
56.5,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,143.79,0,143.79,143.79,143.79,143.79
57.5,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07,152.07
58.5,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66,160.66
59.5,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,169.57,0,169.57,169.57,169.57,169.57
60.5,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82,178.82
61.5,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41,188.41
62.5,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35,198.35
63.5,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63,208.63
64.5,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,219.28,0,219.28,219.28,219.28,219.28
65.5,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29,230.29
66.5,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,241.67,0,241.67,241.67,241.67,241.67
67.5,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,253.43,0,253.43,253.43,253.43,253.43
68.5,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,265.58,0,265.58,265.58,265.58,265.58
69.5,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,278.12,0,278.12,278.12,278.12,278.12
