MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
58.5,6061,9679,9248,4714,2902,5808,7722,5341,7475,7007,4503,4614,2632,3288,4604,5611,3193,5346,4482,6096,2509,1902,604,1337,762,26,733,363,251,48
59.5,6706,9363,6659,3006,1614,5171,7972,5615,7435,6751,4462,3611,3201,2750,2881,3636,2184,3589,3675,4321,2366,2126,1062,741,547,0,740,461,775,31
60.5,7509,9705,8609,5480,2335,4981,6717,6867,13291,4184,3685,4813,2413,2416,3025,3325,2691,2755,4036,4546,3298,1225,1656,971,242,1026,662,608,304,36
61.5,5270,9380,7807,2839,3879,4772,8805,4337,6116,3862,5617,3646,3141,1458,3827,2517,3311,3792,4288,3304,3023,877,1517,913,188,222,493,261,245,45
62.5,4037,7364,8201,3688,2799,3615,6712,3960,8154,3479,2835,4169,3443,2415,2303,3325,3169,1136,1774,2337,1086,921,2173,668,1008,57,642,193,419,19
63.5,4049,8687,8329,3220,2762,2370,5978,4684,6607,2872,3320,2555,2159,1405,886,1890,2632,2476,2533,2297,2814,1580,862,508,1027,254,321,345,104,10
64.5,3465,6663,4125,1749,2308,3771,2723,4922,5907,2219,1099,2344,1704,876,357,1691,2012,1107,1926,1329,1633,627,1051,447,602,0,388,303,104,17
65.5,3697,6576,7289,3477,2164,2342,3888,4370,8295,2835,2555,2710,1418,1721,1753,3798,1315,1297,2046,1887,3240,826,1061,164,328,165,258,165,206,9
66.5,1976,2610,4596,2044,1696,2472,2632,2243,5297,2439,2324,1680,1209,1106,1351,1317,1711,1175,1956,1482,1526,956,513,362,207,0,228,107,221,6
67.5,2523,4848,3474,1677,1468,2162,4463,5670,6313,1942,1236,1096,1424,1166,445,1843,791,1323,1023,844,947,414,635,130,952,0,225,151,110,8
68.5,1095,3586,3063,2498,770,1602,2394,2689,4280,1453,1415,1335,1937,828,982,1223,1440,1714,933,755,1637,326,2199,417,108,0,46,117,337,4
69.5,1263,1585,3701,1205,550,1995,1854,2612,6141,1755,1340,678,1002,912,1484,3287,876,926,876,1100,702,522,816,51,914,0,136,146,168,5
70.5,1957,2332,7481,1531,1599,1585,2447,3110,3188,2723,1407,1247,1656,1137,1626,1019,652,1244,1593,1239,724,1010,110,342,879,1083,200,40,168,3
71.5,753,1595,3752,978,808,2086,1941,1784,1505,1788,1891,615,846,1015,638,1546,935,713,975,622,387,430,676,30,690,722,95,72,59,5
72.5,2541,2281,1422,1859,960,2557,2482,1618,2669,1968,670,612,1458,815,1140,1854,546,1507,540,897,431,819,62,69,216,0,14,96,51,8
73.5,860,1256,1836,1854,906,885,1234,2245,2691,1010,1648,826,796,956,121,435,729,680,508,350,561,800,259,72,207,101,86,111,225,4
74.5,606,1337,1437,1294,711,526,893,1900,765,945,1991,132,598,382,86,1339,360,621,458,340,303,473,292,60,33,0,171,33,51,3
75.5,1740,1429,1472,1093,447,974,1141,1492,2008,626,545,604,773,630,90,375,470,1727,356,342,305,703,37,51,591,690,67,103,0,6
76.5,935,2772,2729,1045,563,2398,703,821,819,1402,580,707,805,321,19,1087,384,801,343,310,473,853,0,173,19,513,91,38,59,1
77.5,364,1395,790,947,402,974,518,656,1185,675,1151,333,587,134,198,419,648,742,448,198,187,520,75,48,0,0,36,30,59,0
78.5,898,856,802,1076,553,656,604,891,714,634,194,585,769,315,46,8,344,680,423,220,155,383,75,86,10,582,38,37,116,3
79.5,547,573,624,583,191,839,758,676,561,571,1404,116,650,143,0,0,458,703,341,68,133,769,37,0,0,234,141,31,59,2
80.5,599,1041,1013,575,191,1565,428,634,1305,1195,681,234,258,355,0,0,471,217,236,212,533,105,219,0,115,1015,42,19,110,2
81.5,218,720,1363,176,158,1297,801,209,225,337,584,271,327,8,0,8,194,525,112,53,158,216,0,0,5,0,109,15,0,4
82.5,299,3400,754,271,0,554,323,140,94,105,94,138,371,0,19,987,303,302,363,180,182,105,37,0,0,0,176,18,59,3
83.5,149,530,354,296,35,524,348,54,70,169,92,420,134,57,0,32,189,486,149,240,116,364,25,0,0,57,57,0,51,0
84.5,63,505,188,77,0,205,25,0,70,49,24,321,33,160,0,0,394,302,100,122,26,32,0,0,0,0,11,0,0,1
85.5,27,97,192,101,21,247,856,249,131,0,52,226,71,0,0,0,194,765,92,105,122,404,0,0,0,361,0,0,0,0
86.5,63,373,342,0,0,231,195,147,0,49,0,122,40,0,0,0,347,614,226,187,0,105,0,0,0,165,8,0,59,2
87.5,0,336,131,141,0,511,0,285,0,0,0,107,0,0,0,32,93,197,77,163,34,249,0,0,0,0,5,0,0,0
88.5,63,163,138,21,0,56,53,0,0,0,0,175,0,39,0,0,394,82,289,113,45,0,0,0,0,0,5,0,0,0
89.5,0,37,0,0,0,170,0,0,0,0,0,25,172,0,0,0,118,282,184,72,57,0,0,0,0,0,0,5,0,0
90.5,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,323,190,142,93,8,158,0,0,40,0,50,0,0,0
91.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,74,243,100,60,33,0,0,0,0,0,0,0,0,0
92.5,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,128,286,52,0,18,352,0,0,0,0,0,0,0,0
