talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48,10405,22830,11354,13874,45173,11864,36716,8734,19156,42773,54951,48879,6412,6120,11383,2056,16108,4106,4258,2810,2592,4413,3779,2720,1366,580,451,72,1009,22401,0,1270
49,12442,4329,12884,13294,15716,18993,21762,10297,8192,28466,45401,32461,4975,4689,10794,3799,8764,3404,2366,2234,1747,1983,1979,3446,1496,526,981,197,324,17170,168,929
50,19959,20307,3158,17198,0,15372,23108,6234,8521,25437,26624,22338,6778,2885,4486,4197,7174,3810,3994,3878,2275,2863,5275,6055,513,379,635,119,1129,18820,159,948
51,1859,3970,1028,7993,5581,4335,16264,1774,5630,20923,15881,6272,2739,2232,5862,2138,4590,3594,3293,1866,1388,2387,1301,1798,757,401,97,22,291,7981,130,512
52,0,14197,2892,9201,3059,3352,9319,1391,9128,9223,24968,11056,5369,1963,3976,2251,2711,1606,2887,2974,1021,1825,1933,1701,1826,32,227,28,214,4760,0,460
53,3947,7940,891,6804,0,6414,2044,221,2424,7031,14700,15724,180,1297,3953,896,183,791,1874,2076,154,1464,959,1562,210,127,171,42,0,9044,199,21
54,234,0,648,6873,1506,387,0,3509,5457,12291,15716,14240,1011,0,1364,1289,451,3131,2226,1042,747,1037,681,2303,384,724,291,56,496,3,168,523
55,2093,8854,0,2609,1333,1663,1346,0,1563,8488,12257,4278,1150,1972,2875,719,2225,1383,36,467,470,457,568,1135,160,3,673,19,0,1915,0,205
56,3258,0,0,1630,888,0,95,0,1383,6041,4975,6258,1584,1260,557,197,145,1543,217,564,380,903,391,777,99,353,0,6,0,18093,93,500
57,3716,0,0,1037,0,0,95,0,0,1429,8188,1683,107,211,905,507,281,544,385,567,497,1051,351,695,169,363,0,0,0,8,10,0
58,6048,0,0,1443,0,0,0,0,330,0,1063,765,0,1871,3178,871,888,219,627,823,0,512,64,431,193,16,108,97,0,4760,0,7
59,229,0,3986,0,992,0,0,221,0,1429,613,2094,271,0,121,29,314,119,217,786,106,287,58,398,34,41,91,0,282,0,0,14
60,234,0,0,0,0,1009,95,0,0,0,1184,0,0,0,117,558,955,0,89,8,57,142,1079,281,51,353,33,28,0,6664,38,103
61,0,0,0,87,1375,0,0,0,0,0,0,0,0,0,0,12,1726,510,36,152,0,53,336,15,0,347,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,766,0,0,54,29,223,95,89,25,0,111,0,56,225,0,0,0,0,0,0,103
63,0,0,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,54,0,137,0,69,56,6,0,0,0,8568,0,0
64,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,41,0,0,151,279,328,34,0,77,0,0,7616,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,506,31,369,93,3,65,0,0,0,0,0
66,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,6,0,0,0,9996,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,105,0,54,0,46,262,105,34,0,0,25,0,2380,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,91,0,0,0,3,0,0,0,0,0,27
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,0,33,0,0,54,0,0,0,0,32,0,7,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,46,13,56,0,6,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,54,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
