"length","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
3.75,0.251840297133721,0.20922672179642,0.227130079634917,0.218092202415754,0.32992930030401,0.355048278372875,0.275966206145253,0.275966206145253,0.266057065647648,0.289066298650771,0.210983101973852,0.200181573745926,0.244979102987401,0.262022095100181,0.216111497798236,0.269080797237938,0.264464945589038,0.256690488155697,0.246015542970255,0.292948429208726,0.341890525328685,0.261915567716338,0.305571252049586,0.254596607318421,0.260687895053819,0.261905918218689,0.219216329533014,0.241243270844189,0.2428885150829,0.374112132797037,0.322590467495523,0.305040587378133
4.25,0.377038758880765,0.3210175155062,0.344670337027707,0.333964752542472,0.482386655385043,0.514380663615389,0.411617996055514,0.411617996055514,0.396094316519287,0.428871874137085,0.322790887368756,0.308165697358838,0.369550235738257,0.395026663354367,0.331406807269471,0.402956540022602,0.395327846556863,0.386332141481399,0.368718046542894,0.434565566143191,0.501136419205413,0.394438139947339,0.450809527459606,0.38136151714525,0.393550466181868,0.392556104732598,0.336266938594915,0.363650896994918,0.369592454008974,0.541618329505887,0.475101097073484,0.450082027385529
4.75,0.539672955940612,0.469610906360428,0.499302298527477,0.487701134678417,0.676081425976108,0.71507905175368,0.587215272337426,0.587215272337426,0.564128025637446,0.608946659672902,0.471010491014869,0.452148450162173,0.53252028910005,0.568933673246378,0.484583067522629,0.576905687164177,0.565074039036983,0.555572519874503,0.528272094429079,0.616947738650738,0.703934593180304,0.567538936533261,0.636895272975108,0.546109988081739,0.56749352605014,0.562453793293775,0.491818062828322,0.523681733470437,0.536707235053062,0.752473393796723,0.670190032751814,0.635937022518619
5.25,0.745200923168038,0.661298508162883,0.696945588180165,0.685697533101087,0.91604435102328,0.961814469677665,0.808430746737773,0.808430746737773,0.775482055624203,0.834793239447168,0.661759257364614,0.638408651577759,0.739783412231981,0.789996935849146,0.682095630093719,0.796781586930871,0.77931161768195,0.770397486693319,0.730091144977094,0.845659045903165,0.955707498437896,0.787377285571408,0.869178565335448,0.754399772881307,0.788855237546682,0.777366662955397,0.692442367574186,0.727082987781944,0.750795739823154,1.0115421496899,0.913360774170529,0.867956243405035
5.75,0.999211454478445,0.902657178523916,0.943731075049027,0.934629090763355,1.20732479467365,1.25923913405938,1.08105476688613,1.08105476688613,1.03558208192327,1.11200318557917,0.901416539950437,0.873528246625226,0.997413550097126,1.06465782896145,0.930689530531029,1.06857915227292,1.04377555037557,1.03696361827787,0.979723418978795,1.12635284551561,1.26190924940822,1.06029145296528,1.15307019858866,1.01192424174376,1.06417135263642,1.04320625517557,0.945009167723358,0.979773561699505,1.01867071814484,1.32366695209943,1.21017121815808,1.15155164661374
6.25,1.30741427782429,1.20053285284424,1.24598714080602,1.24143368440357,1.5549890206458,1.61198831991989,1.41098614998393,1.41098614998393,1.34994751747591,1.44624977294787,1.19660828528312,1.16437589570087,1.31165195086746,1.39953218166134,1.23738295518455,1.3984242517822,1.36431799893752,1.36158604975685,1.28284188292436,1.46476443618534,1.62802274868903,1.39278598491261,1.49403646015957,1.32450224430876,1.40016159786991,1.36601728675965,1.25666756322851,1.28783202817219,1.34737905998639,1.69366993037168,1.56622890966314,1.49219120736469
6.75,1.67563177506089,1.56202665901864,1.6102279848235,1.61329800980047,1.9641187644109,2.02468189576338,1.80422448014213,1.80422448014213,1.72418473670089,1.84328188247194,1.55419382085024,1.51809284310385,1.68889657580637,1.801399161265,1.60945304628828,1.79256476698958,1.74690017157262,1.75072819003903,1.64523580019339,1.86670493475384,2.05955730349369,1.79152099188913,1.89759477819564,1.69806956234417,1.80371812632059,1.75196863526865,1.63483195646602,1.65748644494906,1.74418837261074,2.12635483047296,1.98718709003381,1.89539453032887
7.25,2.10979189705584,1.99448282929325,2.04314352162511,2.05764548470764,2.43981003173598,2.50192560700522,2.26686353495059,2.26686353495059,2.16398130050637,2.30891881766415,1.98125437620285,1.94208058563575,2.13569298939182,2.2771917175902,2.0544235488405,2.25736293912186,2.1975853590251,2.21099288865813,2.07280349630432,2.33805607102866,2.5620466164075,2.26330294134352,2.36931003563404,2.13867159358986,2.28189557825329,2.20734561947838,2.08716944611605,2.09510559648833,2.21657536300224,2.62650855435968,2.47874135466105,2.3667291324244
7.75,2.61592202412316,2.50547805745625,2.55159054939716,2.58212561167956,2.98717207338814,3.04831216473768,2.80508560289066,2.80508560289066,2.67510096999926,2.84904583905394,2.48508299514898,2.44398999217365,2.65872642622077,2.83398826476929,2.58005393819252,2.79928873588353,2.7225329059451,2.74911475503303,2.57154608507987,2.88476570392441,3.14104706794189,2.81507664844034,2.91479140632358,2.65245700967124,2.8419024213963,2.73854330489901,2.6215887299665,2.60719137078499,2.7722156639938,3.19890246527059,3.04662678720619,2.91180725184223
8.25,3.2001435880817,3.10281203853619,3.14258495127411,3.19460453385036,3.61132649967273,3.66842218086126,3.4251565167975,3.4251565167975,3.26337935339519,3.46961027370338,3.07317558405789,3.031711612848,3.26481481052247,3.47900536449287,3.19432975868884,3.42491404018255,3.32799293500149,3.37195340927546,3.14756196952487,3.51284391540669,3.80213623108072,3.45391823560968,3.53968960789374,3.24567219904904,3.49109332755821,3.35206063575102,3.24623024207283,3.2003720545012,3.41897483545431,3.84829350835832,3.69661547386707,3.53628307718382
