talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
42.5,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575
43.5,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569
44.5,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138
45.5,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039
46.5,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278
47.5,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064
48.5,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775
49.5,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912
50.5,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007
51.5,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769
52.5,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306
53.5,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922
54.5,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798
55.5,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388
56.5,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336
57.5,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472
58.5,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808
59.5,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541
60.5,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042
61.5,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863
62.5,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726
63.5,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525
64.5,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323
65.5,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351
66.5,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003
67.5,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836
68.5,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567
69.5,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071
70.5,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381
71.5,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683
72.5,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315
73.5,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768
74.5,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681
75.5,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841
76.5,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179
77.5,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772
78.5,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839
79.5,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739
80.5,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972
81.5,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176
