talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,
41,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,,,
42,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,60.14194575,,,
43,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,64.72834569,,,
44,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,69.54823138,,,
45,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,74.60784039,,,
46,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,79.91343278,,,
47,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,85.47129064,,,
48,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,91.28771775,,,
49,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,97.36903912,,,
50,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,103.7216007,,,
51,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,110.351769,,,
52,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,117.2659306,,,
53,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,124.4704922,,,
54,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,131.9718798,,,
55,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,139.7765388,,,
56,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,147.8909336,,,
57,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,156.3215472,,,
58,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,165.0748808,,,
59,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,174.1574541,,,
60,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,183.5758042,,,
61,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,193.3364863,,,
62,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,203.4460726,,,
63,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,213.9111525,,,
64,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,224.7383323,,,
65,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,235.9342351,,,
66,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,247.5055003,,,
67,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,259.4587836,,,
68,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,271.8007567,,,
69,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,284.5381071,,,
70,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,297.6775381,,,
71,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,311.2257683,,,
72,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,325.1895315,,,
73,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,339.5755768,,,
74,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,354.3906681,,,
75,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,369.6415841,,,
76,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,385.3351179,,,
77,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,401.4780772,,,
78,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,418.0772839,,,
79,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,435.1395739,,,
80,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,452.6717972,,,
