MeanLength,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
60.5,227,520,0,2144,0,0,42,723,1101,27,0,208,257,91,62,0,661,323,2014,0,41,0,52,1,11.62,,,,,,,,,,,,,
61.5,0,520,0,0,0,131,0,0,0,68,271,182,133,0,120,210,207,675,602,41,0,29,2,0,,,,,,,,,,,,,,
62.5,0,414,0,0,0,0,0,0,228,200,0,40,118,0,325,348,4025,100,263,88,10,0,11.12,,,,,,,,,,,,,,,
63.5,0,276,0,0,0,151,1101,243,109,44,93,34,26,285,258,675,52,20,0,35,0,4.44,,,,,,,,,,,,,,,,
64.5,644,1797,52,1022,0,0,0,0,8,75,220,32,0,0,21,0,10,0,6.73,,,,,,,,,,,,,,,,,,,
65.5,0,1862,25,41,27,175,332,676,55,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
66.5,0,39,0,0,43,23,0,0,44,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
67.5,121,0,22,0,0,88,401,20,1,0,21.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.5,54,27,0,46,0,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.5,53,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.5,83,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
